Emp ID,First Name,Last Name,DOB,SSN,State
214,Sarah,Simpson,12/04/1985,***-**-8166,FL
15,Samantha,Lara,09/08/1993,***-**-7526,CO
411,Stacy,Charles,12/20/1957,***-**-8526,PA
166,Michelle,Roy,07/29/1978,***-**-3944,MI
39,Joseph,Rogers,03/28/1985,***-**-3515,MN
423,Erica,Hines,10/13/1975,***-**-6153,NY
192,Zoe,Patel,12/20/1967,***-**-0817,WI
162,Matthew,Harvey,01/20/1990,***-**-0346,TN
131,Shawn,Davis,07/21/1961,***-**-1581,WV
20,April,Baldwin,08/07/1961,***-**-2014,MO
246,Vincent,Daniels,01/06/1972,***-**-2754,MT
525,Ann,Fields,08/22/1960,***-**-7911,IA
392,Jeffrey,Pearson,05/05/1979,***-**-2578,IL
474,Heather,Johnson,09/23/1989,***-**-0904,GA
478,Melissa,Fletcher,03/14/1979,***-**-6881,RI
101,Kimberly,Alvarez,09/04/1984,***-**-8680,LA
52,Monica,Jimenez,04/08/1988,***-**-1668,ND
182,Steven,Johnson,05/28/1962,***-**-7070,NE
637,Sarah,Wood,06/15/1972,***-**-6715,FL
510,Jesus,Petersen,03/28/1958,***-**-0770,OK
122,Rhonda,Rosales,04/10/1963,***-**-0286,AL
294,Nicole,Richardson,09/09/1981,***-**-5228,LA
327,Jennifer,Mendez,07/20/1977,***-**-1994,OR
145,Sandra,Petty,01/30/1981,***-**-7629,NC
565,Michael,Hester,04/13/1987,***-**-6836,SD
590,Joseph,Brown,08/28/1982,***-**-4744,NH
340,Michelle,Cooper,08/23/1993,***-**-2306,WA
176,Barbara,Wise,12/15/1991,***-**-7662,IN
63,Carol,Rosales,07/20/1984,***-**-4907,NJ
121,Mark,Villa,02/24/1969,***-**-2207,MS
70,Russell,Orozco,09/16/1973,***-**-5514,MS
446,Michelle,Sanchez,08/21/1994,***-**-5222,OK
156,Briana,Ayala,10/31/1965,***-**-4542,CT
343,Shane,Roberts,12/14/1958,***-**-6030,HI
599,Cassandra,Morris,01/24/1973,***-**-3831,MT
102,Krista,Thompson,07/25/1984,***-**-7445,KY
377,Jon,Bennett,09/13/1957,***-**-1689,NM
240,April,Thomas,12/03/1993,***-**-3580,CO
455,Haley,Martinez,01/15/1968,***-**-3736,ID
503,Isaac,Stafford,11/25/1989,***-**-5036,SD
269,John,Martinez,01/06/1987,***-**-3936,NH
